VENDOR_CODE,VENDOR_NAME,VENDOR_TYPE,DATE_SUBMITTED,DATE_COMPLETED
050290,"ELIO PHILIPPINES INC",OUTRIGHT,"2022-08-16 10:24:08","2022-10-04 14:15:00"
050374,"EVERWING PROFEM CORPORATION",OUTRIGHT,"2022-09-28 10:27:14","2022-11-09 14:39:57"
054006,"EVIAN APPAREL CORPORATION","STORE CONSIGNOR","2022-08-20 15:38:37","2022-11-11 13:42:28"
064141,"F AND C JEWELRY, INC.","STORE CONSIGNOR","2022-11-14 14:51:36","2022-12-01 16:02:46"
060418,"F&L FASHION LEADER INC.",OUTRIGHT,"2022-08-24 15:15:40","2022-11-16 15:53:46"
060424,"FATED INC.",OUTRIGHT,"2022-08-02 11:26:25","2022-09-26 13:53:43"
060290,"FEDCHEM MANUFACTURING & DISTRIBUTION INC.",OUTRIGHT,"2023-01-03 14:28:52","2023-02-01 13:59:39"
060309,"FIRST LINEN COMMERCIAL",OUTRIGHT,"2022-08-31 10:10:06","2022-10-13 13:55:27"
060362,"FM GEMS COLLECTIONS",OUTRIGHT,"2022-12-19 09:50:40","2023-01-03 14:17:52"
060323,"FORCAST ARTS & CRAFTS",OUTRIGHT,"2023-01-03 14:06:47","2023-03-09 11:06:51"
070217,"G A C APPAREL",OUTRIGHT,"2022-08-04 00:46:37","2022-08-24 14:15:02"
070415,"G! FASHIONABLES, INC.",OUTRIGHT,"2022-10-18 17:15:35","2022-11-23 14:28:37"
070410,"GIFT BUSINESS.COM PHILIPPINES INCORPORATED",OUTRIGHT,"2022-09-09 10:13:54","2023-03-27 13:57:46"
074040,"GIVANO FOOTWEAR INTL CORP","STORE CONSIGNOR","2022-09-09 14:49:31","2022-11-10 13:58:21"
070710,"GOLD KNIT GARMENT MANUFACTURING",OUTRIGHT,"2022-08-08 18:56:36","2022-09-26 14:15:37"
070877,"GRICU TRADING",OUTRIGHT,"2022-08-21 13:41:14","2022-09-06 13:59:48"
080226,"HANDRICH SALES VENTURES INC.",OUTRIGHT,"2022-08-23 16:52:58","2022-09-23 14:25:47"
084104,"HATCH MARKETING INC.","STORE CONSIGNOR","2022-07-18 11:01:33","2022-08-18 14:11:33"
080549,"HOME ACCENTS MARKETING, INC.",OUTRIGHT,"2022-10-13 12:34:58","2022-11-03 14:43:55"
090097,"INTEGRATED MKTG & DISTRIBUTION SERVICES CORP.",OUTRIGHT,"2023-02-16 14:42:52","2023-03-07 14:29:30"
094022,"ISHA-RAE COMMERCIAL INC","STORE CONSIGNOR","2022-08-25 13:42:41","2022-09-23 14:42:08"
100599,"JESUS KRISHNA COMMERCIAL",OUTRIGHT,"2022-11-01 12:05:21","2022-12-14 13:46:15"
104099,"JFRL ENTERPRISES","STORE CONSIGNOR","2023-03-22 09:19:07","2023-04-17 13:57:13"
100506,"JOTOCO CORP.",OUTRIGHT,"2023-01-10 17:42:38","2023-04-05 14:03:09"
104066,"J P NETWORKS, INC.","STORE CONSIGNOR","2022-10-17 16:03:16","2022-11-08 13:57:43"
104056,"JUST IN TIME (JIT) CORPORATION","STORE CONSIGNOR","2022-09-12 13:48:50","2022-11-11 15:19:04"
114023,"KEYLARGO CAR ACCESSORIES CENTER","STORE CONSIGNOR","2023-01-05 07:39:57","2023-01-01 00:00:00"
114107,"KIDBASIX MARKETING INC.","STORE CONSIGNOR","2022-08-23 12:12:01","2022-09-27 14:04:52"
120726,"LARA ERIKA SHOE MANUFACTURING",OUTRIGHT,"2022-12-27 17:08:52","2023-01-04 14:30:59"
124075,"LIM YEE WAN CO INC","STORE CONSIGNOR","2022-11-21 17:08:01","2022-12-20 13:50:10"
120081,"LOADSTAR TRADE CENTER INC",OUTRIGHT,"2022-12-09 08:52:19","2023-01-12 14:40:07"
130455,"MERGERS DRUGFIL CORP",OUTRIGHT,"2023-02-07 09:46:03","2023-04-03 14:47:31"
240623,"MOBLER CONTRACT GROUP, INC.",OUTRIGHT,"2022-09-27 09:06:10","2023-04-11 14:25:17"
140319,"NATURE'S HARVEST CORP.",OUTRIGHT,"2023-01-13 16:20:15","2023-04-04 14:53:55"
154001,"ONESIMUS CORPORATION","STORE CONSIGNOR","2023-02-23 20:39:32","2023-03-14 14:56:06"
150507,"OPTIWHITE INC.",OUTRIGHT,"2022-12-28 14:57:41","2023-02-08 14:27:37"
150268,"ORIENTWAY MARKETING",OUTRIGHT,"2023-01-27 17:28:37","2023-04-17 13:43:35"
194191,"SIERRA REGIS MARKETING, INC","STORE CONSIGNOR","2022-11-07 14:10:15","2022-11-25 13:53:57"
150675,"SMART R BROTHERS TRADING CORPORATION",OUTRIGHT,"2023-03-15 11:36:38","2023-03-27 14:02:54"
190333,"STAR PLASTIC PRODUCTS INC",OUTRIGHT,"2022-07-21 16:52:41","2022-08-26 13:14:37"
194216,"STARAPPLE COMPUTER CORPORATION","STORE CONSIGNOR","2023-03-22 17:29:20","2023-04-18 14:58:57"
194326,"STYLE SENSATION DESIGN SOURCING INC.","STORE CONSIGNOR","2023-01-25 17:40:43","2023-03-01 15:01:23"
194056,"SUPER MANUFACTURING, INC.","STORE CONSIGNOR","2023-01-03 09:50:38","2023-01-31 13:52:27"
204208,"THE RED ENVELOPE CORPORATION","STORE CONSIGNOR","2023-02-01 09:33:56","2023-03-29 13:54:37"
200538,"TRICKSON GEN. MERCHANDISE INC.",OUTRIGHT,"2023-01-23 13:28:32","2023-02-06 14:22:50"
204180,"TRI-JS MARKETING VENTURES INC.","STORE CONSIGNOR","2023-03-22 09:28:37","2023-04-17 14:02:23"
214006,"UNITED MIX CREATIONS CORPORATION","STORE CONSIGNOR","2023-03-13 13:36:12","2023-04-19 16:00:10"
210030,"UNIVERSAL ROBINA CORPORATION",OUTRIGHT,"2022-09-02 14:13:16","2023-04-03 15:07:56"
220169,"VEGETARI VEGETARIAN PRODUCTS",OUTRIGHT,"2022-12-19 14:03:36","2023-02-01 14:15:52"
230237,"WEEXT TRADING CORPORATION",OUTRIGHT,"2023-02-03 08:59:56","2023-03-20 13:51:46"
234103,"WHOLE PET KITCHEN:PET DELI & BARK-ERY, INC.","STORE CONSIGNOR","2022-09-16 16:38:34","2022-11-23 15:16:22"
234046,"WIZER INDUSTRIES, INC.","STORE CONSIGNOR","2022-09-27 19:48:05","2022-11-18 14:07:45"
264014,"ZAPATO INCORPORATED","STORE CONSIGNOR","2023-03-22 08:56:04","2023-04-17 13:52:24"
150594,"2NDGEN MANUFACTURING CORPORATION",OUTRIGHT,"2022-08-05 14:30:31","2022-09-26 16:02:06"
