VENDOR_CODE,VENDOR_NAME,VENDOR_TYPE,DATE_SUBMITTED,DATE_COMPLETED
080549,"HOME ACCENTS MARKETING, INC.",OUTRIGHT,"2022-10-13 12:34:58","2022-11-03 14:43:55"
094025,"IKHEA LIGHTINGS, INC.","STORE CONSIGNOR","2023-01-05 14:01:58","2023-07-10 10:32:27"
094022,"ISHA-RAE COMMERCIAL INC","STORE CONSIGNOR","2022-08-25 13:42:41","2022-09-23 14:42:08"
100599,"JESUS KRISHNA COMMERCIAL",OUTRIGHT,"2022-11-01 12:05:21","2022-12-14 13:46:15"
104099,"JFRL ENTERPRISES","STORE CONSIGNOR","2023-03-22 09:19:07","2023-04-17 13:57:13"
100506,"JOTOCO CORP.",OUTRIGHT,"2023-01-10 17:42:38","2023-04-05 14:03:09"
104066,"J P NETWORKS, INC.","STORE CONSIGNOR","2022-10-17 16:03:16","2022-11-08 13:57:43"
104104,"JUREX PHILIPPINES INC","STORE CONSIGNOR","2022-09-06 09:59:32","2023-07-10 14:40:16"
104056,"JUST IN TIME (JIT) CORPORATION","STORE CONSIGNOR","2022-09-12 13:48:50","2022-11-11 15:19:04"
114107,"KIDBASIX MARKETING INC.","STORE CONSIGNOR","2022-08-23 12:12:01","2022-09-27 14:04:52"
110245,"KSK FOOD PRODUCTS",OUTRIGHT,"2023-03-09 08:14:42","2023-04-17 14:07:47"
120726,"LARA ERIKA SHOE MANUFACTURING",OUTRIGHT,"2022-12-27 17:08:52","2023-01-04 14:30:59"
120887,"LEDER TECHNIK INC.",OUTRIGHT,"2023-08-18 22:48:57","2023-09-12 14:00:33"
124075,"LIM YEE WAN CO INC","STORE CONSIGNOR","2022-11-21 17:08:01","2022-12-20 13:50:10"
120081,"LOADSTAR TRADE CENTER INC",OUTRIGHT,"2022-12-09 08:52:19","2023-01-12 14:40:07"
130455,"MERGERS DRUGFIL CORP",OUTRIGHT,"2023-02-07 09:46:03","2023-04-03 14:47:31"
240623,"MOBLER CONTRACT GROUP, INC.",OUTRIGHT,"2022-09-27 09:06:10","2023-04-11 14:25:17"
134286,"MULTIPRIME PHILIPPINES INCORPORATED","STORE CONSIGNOR","2023-03-21 10:47:57","2023-04-26 14:39:57"
154001,"ONESIMUS CORPORATION","STORE CONSIGNOR","2023-02-23 20:39:32","2023-03-14 14:56:06"
150507,"OPTIWHITE INC.",OUTRIGHT,"2022-12-28 14:57:41","2023-02-08 14:27:37"
150268,"ORIENTWAY MARKETING",OUTRIGHT,"2023-01-27 17:28:37","2023-04-17 13:43:35"
164188,"PERFECTBODY MARKETING CORP.","STORE CONSIGNOR","2022-10-25 12:39:55","2023-07-03 15:05:25"
160421,"PLANET CLASSIC CORPORATION",OUTRIGHT,"2023-03-22 08:51:57","2023-05-15 14:14:02"
160619,"POLYSHOE COMPANY, INC.",OUTRIGHT,"2023-03-23 08:11:00","2023-05-15 14:09:07"
180389,"REPUBLIC BISCUIT CORPORATION",OUTRIGHT,"2023-09-22 15:21:46","2023-12-20 14:02:02"
194191,"SIERRA REGIS MARKETING, INC","STORE CONSIGNOR","2022-11-07 14:10:15","2022-11-25 13:53:57"
150675,"SMART R BROTHERS TRADING CORPORATION",OUTRIGHT,"2023-03-15 11:36:38","2023-03-27 14:02:54"
190333,"STAR PLASTIC PRODUCTS INC",OUTRIGHT,"2022-07-21 16:52:41","2022-08-26 13:14:37"
194216,"STARAPPLE COMPUTER CORPORATION","STORE CONSIGNOR","2023-03-22 17:29:20","2023-04-18 14:58:57"
194326,"STYLE SENSATION DESIGN SOURCING INC.","STORE CONSIGNOR","2023-01-25 17:40:43","2023-03-01 15:01:23"
194056,"SUPER MANUFACTURING, INC.","STORE CONSIGNOR","2023-01-03 09:50:38","2023-01-31 13:52:27"
204247,"TERRY & SPRUCE GROUP INC.","STORE CONSIGNOR","2023-03-20 09:57:27","2023-06-07 14:21:32"
204208,"THE RED ENVELOPE CORPORATION","STORE CONSIGNOR","2023-02-01 09:33:56","2023-03-29 13:54:37"
200538,"TRICKSON GEN. MERCHANDISE INC.",OUTRIGHT,"2023-01-23 13:28:32","2023-02-06 14:22:50"
204180,"TRI-JS MARKETING VENTURES INC.","STORE CONSIGNOR","2023-03-22 09:28:37","2023-04-17 14:02:23"
200490,"TROPICAL PREMIUMS TRADING",OUTRIGHT,"2023-04-03 13:36:57","2023-07-25 14:46:10"
214006,"UNITED MIX CREATIONS CORPORATION","STORE CONSIGNOR","2023-03-13 13:36:12","2023-04-19 16:00:10"
220169,"VEGETARI VEGETARIAN PRODUCTS",OUTRIGHT,"2022-12-19 14:03:36","2023-02-01 14:15:52"
230237,"WEEXT TRADING CORPORATION",OUTRIGHT,"2023-02-03 08:59:56","2023-03-20 13:51:46"
234103,"WHOLE PET KITCHEN:PET DELI & BARK-ERY, INC.","STORE CONSIGNOR","2022-09-16 16:38:34","2022-11-23 15:16:22"
234046,"WIZER INDUSTRIES, INC.","STORE CONSIGNOR","2022-09-27 19:48:05","2022-11-18 14:07:45"
264010,"ZANEA INCORPORATED","STORE CONSIGNOR","2023-03-24 16:09:39","2023-04-26 14:05:24"
264014,"ZAPATO INCORPORATED","STORE CONSIGNOR","2023-03-22 08:56:04","2023-04-17 13:52:24"
264005,"ZENOREX MARKETING CORPORATION","STORE CONSIGNOR","2023-03-21 11:26:52","2023-06-06 14:22:49"
150594,"2NDGEN MANUFACTURING CORPORATION",OUTRIGHT,"2022-08-05 14:30:31","2022-09-26 16:02:06"
